web-scraper-order,web-scraper-start-url,Pagination,Title,Comment Pagination,Comment,Comment Link,Comment Link-href
"1679812268-24","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>Glad to see you again, I have a lot more in stock of this one so I hope you'll like it :D</p>","3 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7587359#comment-7587359"
"1679812268-25","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>try finger, skeleton</p>
<p><img src=""https://www.royalroadcdn.com/public/smilies/PenguinGirlEmoticon_Gentleman001-min-AABA64k8Xgw=.png""></p>","1 month  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7829845#comment-7829845"
"1679812268-26","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>There is no error there as you'll soon understand (๑&gt;؂•̀๑)</p>","3 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7607788#comment-7607788"
"1679812268-27","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>Σ(ﾟ口ﾟ;)// I knew that I recognized your username from somewhere! Took me a moment to realize.</p>
<p>Believe it or not, [Maid] to Kill was one of my inspirations when I started writing this.</p>
<p>I hope you'll like it! ૮⸝⸝&gt; ̫ &lt;⸝⸝ ა</p>","3 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7613469#comment-7613469"
"1679812268-28","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>I can't believe moonlit was actually a single word Σ(ﾟ口ﾟ;)//</p>
<p>Darned my low level [English] skill playing tricks on me. Thanks for the catch. <span style=""font-size: 0.9em""><span style=""font-weight: 400"">(｀• ω •´)ｂ</span></span></p>
<p>Also yep, totally intentional double level prompt, I understand now that it's confusing, but I dread going back through every chapters to fix it so... deal with it (⌐■_■)</p>","3 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7617437#comment-7617437"
"1679812268-29","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>That's the kind of thing that fixes itself later (｡•̀ᴗ-)✧</p>","2 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7628912#comment-7628912"
"1679812268-30","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>I'll have to agree, many religions have a fascinating history and a lot of symbolism around it. I try to take inspiration in them, bringing out the cool parts, but it is always a touchy subject to write on. There will be a character loosely inspired from Buddhism making an appearance later on, I just hope I don't offend too many people when I'm pulling at these strings for inspiration. <span style=""font-size: 0.9em""><span style=""font-weight: 400"">(｀• ω •´)</span></span></p>","2 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7649494#comment-7649494"
"1679812268-31","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>That's absolutely an MC thing. Also, thanks for the edit suggestion <span style=""font-size: 0.9em""><span style=""font-weight: 400"">(｀• ω •´)ｂ</span></span></p>","2 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7633642#comment-7633642"
"1679812268-32","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>Thank you for reading <span style=""font-size: 0.9em""><span style=""font-weight: 400"">(｀• ω •´)ｂ</span></span></p>","2 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7642806#comment-7642806"
"1679812268-33","https://www.royalroad.com/fiction/62087/saintess-summons-skeletons/chapter/1066845/chapter-1-un-holy-beginning","","Chapter 1 - Un-Holy Beginning","","<p>Oh, I agree, the class's name is pretty much meaningless in Sofia's case, the system just bashed two words together and that was that <span style=""font-size: 0.9em""><span style=""font-weight: 400"">(｀• ω •´)ｂ</span></span></p>","2 months  ago","https://www.royalroad.com/fiction/chapter/1066845?comment=7652785#comment-7652785"
